benchmark,task_id,oracle_architecture,oracle_accuracy,oracle_latency_sec,oracle_total_tokens
BrowseComp-Plus,769,Single-Agent System,1.0,5.3412,23786
BrowseComp-Plus,770,Single-Agent System,1.0,4.9027,35619
BrowseComp-Plus,771,Single-Agent System,1.0,2.4928,10043
BrowseComp-Plus,772,Single-Agent System,1.0,3.5136,23950
BrowseComp-Plus,773,Single-Agent System,1.0,4.6778,12053
BrowseComp-Plus,774,Decentralized MAS,1.0,5.4483,35780
BrowseComp-Plus,775,Single-Agent System,1.0,5.1732,30463
BrowseComp-Plus,776,Single-Agent System,1.0,4.7539,43431
BrowseComp-Plus,778,Single-Agent System,1.0,4.2958,58288
BrowseComp-Plus,781,Decentralized MAS,1.0,4.1988,11217
BrowseComp-Plus,783,Single-Agent System,1.0,3.3528,4411
BrowseComp-Plus,784,Single-Agent System,1.0,4.2219,11734
BrowseComp-Plus,785,Single-Agent System,1.0,18.2397,325467
BrowseComp-Plus,786,Decentralized MAS,1.0,3.6863,10046
BrowseComp-Plus,787,Single-Agent System,1.0,10.4492,248081
BrowseComp-Plus,788,Single-Agent System,1.0,3.433,4047
BrowseComp-Plus,790,Single-Agent System,1.0,3.5158,16805
BrowseComp-Plus,791,Single-Agent System,1.0,2.9291,4762
BrowseComp-Plus,792,Decentralized MAS,1.0,8.9882,249278
BrowseComp-Plus,793,Single-Agent System,1.0,3.4344,4994
BrowseComp-Plus,794,Single-Agent System,0.0,8.3792,134424
BrowseComp-Plus,796,Single-Agent System,1.0,4.1638,37993
BrowseComp-Plus,797,Single-Agent System,1.0,2.6728,3341
BrowseComp-Plus,798,Single-Agent System,1.0,4.5977,22543
BrowseComp-Plus,800,Single-Agent System,1.0,2.6616,7252
BrowseComp-Plus,801,Single-Agent System,1.0,7.0554,15367
BrowseComp-Plus,802,Decentralized MAS,1.0,13.7623,214248
BrowseComp-Plus,804,Single-Agent System,1.0,8.774,130876
BrowseComp-Plus,805,Single-Agent System,1.0,4.5068,26103
BrowseComp-Plus,806,Single-Agent System,1.0,3.5483,19021
Fin-RATE,qa_1_000000,Decentralized MAS,1.0,5.3984,5599
Fin-RATE,qa_1_000001,Single-Agent System,0.5,3.5164,2936
Fin-RATE,qa_1_000002,Single-Agent System,1.0,6.5062,5061
Fin-RATE,qa_1_000003,Single-Agent System,1.0,6.2522,2573
Fin-RATE,qa_1_000004,Single-Agent System,1.0,3.5622,1464
Fin-RATE,qa_1_000005,Single-Agent System,0.5,3.0991,1654
Fin-RATE,qa_1_000006,Single-Agent System,1.0,2.3331,3002
Fin-RATE,qa_1_000007,Single-Agent System,1.0,3.3128,1622
Fin-RATE,qa_1_000008,Decentralized MAS,1.0,10.1516,10114
Fin-RATE,qa_1_000009,Single-Agent System,1.0,4.2837,1412
Fin-RATE,qa_3_000000,Single-Agent System,0.5,6.4404,8188
Fin-RATE,qa_3_000001,Single-Agent System,1.0,6.236,8149
Fin-RATE,qa_3_000002,Decentralized MAS,0.5,14.3931,71900
Fin-RATE,qa_3_000003,Single-Agent System,0.5,8.559,46281
Fin-RATE,qa_3_000004,Decentralized MAS,1.0,11.7052,30332
Fin-RATE,qa_3_000005,Decentralized MAS,1.0,16.0614,31690
Fin-RATE,qa_3_000006,Single-Agent System,1.0,10.7301,24674
Fin-RATE,qa_3_000007,Single-Agent System,1.0,9.0932,37450
Fin-RATE,qa_3_000008,Single-Agent System,0.5,8.4305,36040
Fin-RATE,qa_3_000009,Single-Agent System,0.5,7.3935,14807
Fin-RATE,qa_2_000000,Single-Agent System,1.0,4.6207,2369
Fin-RATE,qa_2_000001,Single-Agent System,1.0,5.5675,4029
Fin-RATE,qa_2_000002,Single-Agent System,1.0,3.901,2211
Fin-RATE,qa_2_000003,Single-Agent System,1.0,3.6691,2210
Fin-RATE,qa_2_000004,Single-Agent System,0.0,4.3715,3718
Fin-RATE,qa_2_000005,Decentralized MAS,0.5,7.2178,6991
Fin-RATE,qa_2_000006,Single-Agent System,0.5,9.315,21980
Fin-RATE,qa_2_000007,Single-Agent System,0.5,3.7436,2102
Fin-RATE,qa_2_000008,Decentralized MAS,0.5,9.5463,28067
Fin-RATE,qa_2_000009,Decentralized MAS,0.5,9.8772,18556
